"Fonte";"Descrição da Fonte";"Orçado - Inicial";"Orçado - Atualizado";"Empenhado - No Mês";"Empenhado - Até o Mês";"Liquidado - No Mês";"Liquidado - Até o Mês";"Pago - No Mês";"Pago - Até o Mês";"Função - Código";"Função - Descrição";"Subfunção - Código";"Subfunção - Descricao";"Programa - Código";"Programa - Descrição";"Ação - Código";"Ação - Descrição";"Categoria Econômica";"Descrição Categoria Econômica";"Grupo de Despesa";"Descrição Grupo de Despesa";"Modalidade";"Descrição Modalidade"
"150070000000";" Recursos não vinculados de Impostos";"946400.00";"929400.00";"0.00";"644936.63";"0.00";"644936.63";"4663.73";"637063.56";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"151856.64";"159856.64";"8184.00";"86661.19";"5350.73";"66246.94";"5350.73";"66246.94";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"5624.32";"36624.32";"0.00";"20164.32";"0.00";"20164.32";"0.00";"20164.32";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"3328000.00";"2328000.00";"5480.07";"1281599.48";"5480.07";"1281599.48";"13550.11";"1266771.12";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"610022.40";"1600022.40";"61749.60";"932906.94";"14406.55";"592509.41";"42198.72";"583094.89";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"28121.60";"38121.60";"0.00";"37528.15";"0.00";"37528.15";"0.00";"37528.15";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"56243.20";"56243.20";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
