"Fonte";"Descrição da Fonte";"Orçado - Inicial";"Orçado - Atualizado";"Empenhado - No Mês";"Empenhado - Até o Mês";"Liquidado - No Mês";"Liquidado - Até o Mês";"Pago - No Mês";"Pago - Até o Mês";"Função - Código";"Função - Descrição";"Subfunção - Código";"Subfunção - Descricao";"Programa - Código";"Programa - Descrição";"Ação - Código";"Ação - Descrição";"Categoria Econômica";"Descrição Categoria Econômica";"Grupo de Despesa";"Descrição Grupo de Despesa";"Modalidade";"Descrição Modalidade"
"150070000000";" Recursos não vinculados de Impostos";"946400.00";"946400.00";"66760.10";"503263.33";"66760.10";"503263.33";"72168.10";"495843.05";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"151856.64";"151856.64";"4355.00";"78221.71";"5369.45";"50259.08";"5445.03";"50043.20";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"5624.32";"27624.32";"0.00";"20164.32";"0.00";"20164.32";"11539.84";"20164.32";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"3328000.00";"2628000.00";"155829.91";"1005180.97";"155829.91";"1005180.97";"166959.69";"988249.76";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"610022.40";"1310022.40";"261274.29";"754876.69";"252560.37";"463279.04";"38941.77";"239733.45";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"28121.60";"28121.60";"0.00";"26906.00";"24040.00";"25506.00";"246.00";"1712.00";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"56243.20";"56243.20";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"1400000.00";"1400000.00";"1400000.00";"1400000.00";"1400000.00";"1400000.00";"1400000.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"1076728.47";"1050728.47";"90874.26";"730525.06";"90874.26";"730525.06";"94566.60";"720013.92";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"225926.48";"225926.48";"-25704.50";"160566.00";"11823.98";"125646.74";"8967.04";"117189.80";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"5624.32";"31624.32";"5943.18";"26044.50";"0.00";"16251.32";"13225.09";"16251.32";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"275570000001";" Recursos de Alienação de Bens/Ativos - Administração Direta";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"189280.00";"189280.00";"17279.46";"104921.56";"17279.46";"104921.56";"18962.28";"103000.98";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2004";"Divulgação de Atos e Fatos Administrativos";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"274210.56";"274210.56";"59822.31";"128930.04";"25713.87";"59694.40";"2131.39";"36111.92";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2004";"Divulgação de Atos e Fatos Administrativos";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"5624.32";"5624.32";"0.00";"4397.00";"3807.00";"4397.00";"45.68";"635.68";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2004";"Divulgação de Atos e Fatos Administrativos";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"3744.00";"3744.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2006";"Manutenção das Atividades do Gabinete do Vice-prefeito";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2006";"Manutenção das Atividades do Gabinete do Vice-prefeito";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2006";"Manutenção das Atividades do Gabinete do Vice-prefeito";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"1691788.80";"1691788.80";"146592.24";"1031629.55";"146592.24";"1031629.55";"157596.85";"1016329.10";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"2010";"Manutenção das Atividades de Apoio Logístico, Compras Almoxarifado e Patrimonio";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"1202897.60";"1202897.60";"108345.63";"744173.63";"103332.02";"404426.40";"51338.79";"333095.56";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"2010";"Manutenção das Atividades de Apoio Logístico, Compras Almoxarifado e Patrimonio";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"11248.64";"11248.64";"0.00";"10260.00";"0.00";"1243.52";"96.83";"1243.52";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"2010";"Manutenção das Atividades de Apoio Logístico, Compras Almoxarifado e Patrimonio";"3";"Despesas correntes";"3";"Outras despesas correntes";"91";" Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades"
"150070000000";" Recursos não vinculados de Impostos";"22497.28";"22497.28";"4949.72";"15380.52";"1269.94";"8531.80";"3462.37";"7277.10";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"2010";"Manutenção das Atividades de Apoio Logístico, Compras Almoxarifado e Patrimonio";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"275570000001";" Recursos de Alienação de Bens/Ativos - Administração Direta";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"2010";"Manutenção das Atividades de Apoio Logístico, Compras Almoxarifado e Patrimonio";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175570000001";" Recursos de Alienação de Bens/Ativos - Administração Direta";"1124.85";"1124.85";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"2010";"Manutenção das Atividades de Apoio Logístico, Compras Almoxarifado e Patrimonio";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"146232.32";"146232.32";"11363.83";"79339.86";"11363.83";"79339.86";"12343.74";"78076.79";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"2012";"Manutenção da Unidade Administrativa e Serviços Gerais";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
