"Fonte";"Descrição da Fonte";"Orçado - Inicial";"Orçado - Atualizado";"Empenhado - No Mês";"Empenhado - Até o Mês";"Liquidado - No Mês";"Liquidado - Até o Mês";"Pago - No Mês";"Pago - Até o Mês";"Função - Código";"Função - Descrição";"Subfunção - Código";"Subfunção - Descricao";"Programa - Código";"Programa - Descrição";"Ação - Código";"Ação - Descrição";"Categoria Econômica";"Descrição Categoria Econômica";"Grupo de Despesa";"Descrição Grupo de Despesa";"Modalidade";"Descrição Modalidade"
"150070000000";" Recursos não vinculados de Impostos";"946400.00";"946400.00";"87850.89";"436503.23";"87850.89";"436503.23";"82726.42";"423674.95";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"151856.64";"151856.64";"0.00";"73866.71";"5978.25";"44889.63";"5801.95";"44598.17";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"5624.32";"27624.32";"0.00";"20164.32";"11680.00";"20164.32";"140.16";"8624.48";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"3328000.00";"2628000.00";"196495.18";"849351.06";"196495.18";"849351.06";"181874.45";"821290.07";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"610022.40";"1310022.40";"8131.44";"493602.40";"28402.09";"210718.67";"30287.86";"200791.68";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"28121.60";"28121.60";"4940.00";"26906.00";"0.00";"1466.00";"0.00";"1466.00";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"56243.20";"56243.20";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"1400000.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"1076728.47";"1050728.47";"157095.97";"639650.80";"157095.97";"639650.80";"152418.02";"625447.32";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
