"Fonte";"Descrição da Fonte";"Orçado - Inicial";"Orçado - Atualizado";"Empenhado - No Mês";"Empenhado - Até o Mês";"Liquidado - No Mês";"Liquidado - Até o Mês";"Pago - No Mês";"Pago - Até o Mês";"Função - Código";"Função - Descrição";"Subfunção - Código";"Subfunção - Descricao";"Programa - Código";"Programa - Descrição";"Ação - Código";"Ação - Descrição";"Categoria Econômica";"Descrição Categoria Econômica";"Grupo de Despesa";"Descrição Grupo de Despesa";"Modalidade";"Descrição Modalidade"
"150070000000";" Recursos não vinculados de Impostos";"946400.00";"946400.00";"72541.78";"348652.34";"72541.78";"348652.34";"75425.60";"340948.53";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"151856.64";"151856.64";"7375.00";"73866.71";"11217.11";"38911.38";"14491.95";"38796.22";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"5624.32";"27624.32";"0.00";"20164.32";"8484.32";"8484.32";"8484.32";"8484.32";"4";"Administração                      ";"62";"Defesa do Interesse Público no Processo Judiciário";"2";"Gestão administrativa.";"2007";"Manutenção das Atividades da Procuradoria Municipal";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"3328000.00";"2628000.00";"125535.10";"652855.88";"125535.10";"652855.88";"133072.73";"639415.62";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"610022.40";"1310022.40";"8983.94";"485470.96";"31058.03";"182316.58";"33184.51";"170503.82";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"28121.60";"28121.60";"0.00";"21966.00";"1466.00";"1466.00";"1466.00";"1466.00";"4";"Administração                      ";"121";"Planejamento e Orçamento                ";"4";"Administração geral";"2013";"Manutenção das Atividades de Planejamento Urbano";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"56243.20";"56243.20";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"175470000001";" Recursos de Operações de Crédito ";"1081.60";"1081.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"4";"Administração geral";"1033";"Modernização da Administração";"4";"Despesas de capital";"4";"Investimentos";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"1076728.47";"1061728.47";"82006.78";"482554.83";"82006.78";"482554.83";"83955.11";"473029.30";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"3";"Despesas correntes";"1";"Pessoal e encargos sociais";"90";"Aplicações diretas"
"150070000000";" Recursos não vinculados de Impostos";"225926.48";"225926.48";"-15353.78";"185237.30";"17425.61";"96465.51";"16023.59";"87387.07";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
"250070000000";" Recursos não vinculados de Impostos";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4";"Administração                      ";"122";"Administracao Geral                  ";"2";"Gestão administrativa.";"2003";"Manutenção das Atividades do Gabinete Prefeito";"3";"Despesas correntes";"3";"Outras despesas correntes";"90";"Aplicações diretas"
